shape_file_name_3,gdp_german_counties_county_name
Teltow-Fläming,"Teltow-Fläming, Landkreis"
Tirschenreuth,"Tirschenreuth, Landkreis"
Torgau-Oschatz,"Torgau-Oschatz, Landkreis"
Traunstein,"Traunstein, Landkreis"
Trier Städte,"Trier, kreisfreie Stadt"
Trier-Saarburg,"Trier-Saarburg, Landkreis"
Tübingen,"Tübingen, Landkreis"
Tuttlingen,"Tuttlingen, Landkreis"
Uckermark,"Uckermark, Landkreis"
Uecker-Randow,
Uelzen,"Uelzen, Landkreis"
Ulm Städte,"Ulm, Stadtkreis"
Unna,"Unna, Kreis"
Unstrut-Hainich,Unstrut-Hainich-Kreis
Unterallgäu,"Unterallgäu, Landkreis"
Vechta,"Vechta, Landkreis"
Verden,"Verden, Landkreis"
Viersen,"Viersen, Kreis"
Vogelsbergkreis,Vogelsbergkreis
Vogtlandkreis,Vogtlandkreis
Vulkaneifel,"Vulkaneifel, Landkreis"
Waldeck-Frankenberg,"Waldeck-Frankenberg, Landkreis"
Waldshut,"Waldshut, Landkreis"
Warendorf,"Warendorf, Kreis"
Wartburgkreis,Wartburgkreis
Weiden Städte,Weiden i.d.OPf.
Weilheim-Schongau,"Weilheim-Schongau, Landkreis"
Weimar Städte,"Weimar, kreisfreie Stadt"
Weimarer Land,"Weimarer Land, Kreis"
Weißenburg-Gunzenhausen,"Weißenburg-Gunzenhausen, Landkreis"
Weißenfels,"Weißenfels, Kreis"
Weißeritzkreis,Weißeritzkreis
Wernigerode,"Wernigerode, Kreis"
Werra-Meißner-Kreis,Werra-Meißner-Kreis
Wesel,"Wesel, Kreis"
Wesermarsch,"Wesermarsch, Landkreis"
Westerwaldkreis,Westerwaldkreis
Wetteraukreis,Wetteraukreis
Wiesbaden Städte,"Wiesbaden, Landeshauptstadt, kreisfreie Stadt"
Wilhelmshaven Städte,"Wilhelmshaven, kreisfreie Stadt"
Wismar Städte,"Wismar, Hansestadt, kreisfreie Stadt"
Wittenberg,"Wittenberg, Kreis"
Wittmund,"Wittmund, Landkreis"
Wolfenbüttel,"Wolfenbüttel, Landkreis"
Wolfsburg Städte,"Wolfsburg, kreisfreie Stadt"
Worms Städte,"Worms, kreisfreie Stadt"
Wunsiedel,"Wunsiedel i.Fichtelgebirge, Landkreis"
Wuppertal Städte,"Wuppertal, kreisfreie Stadt"
Würzburg,Würzburg
Würzburg Städte,"Würzburg, Landkreis"
Zollernalbkreis,"Zollernalbkreis, Landkreis"
Zweibrücken Städte,"Zweibrücken, kreisfreie Stadt"
Zwickau Städte,"Zwickau, kreisfreie Stadt"
Zwickauer Land,"Zwickauer Land, Landkreis"
